id,propertyId,fullAddress,roomNumber,occupancyType,bedrooms,listingSqft,unitSqft,availableDate,minimumStay,minimumPrice,maximumPrice
9459,ENTUS-100017982,"70 Richmond Ave, 402-1, Houston, TX, 77006 USA",402-1,SHARED,3,,,2024-06-15,3,124000,124000
9534,ENTUS-100017982,"70 Richmond Ave, 526-3, Houston, TX, 77006 USA",526-3,SHARED,3,,,2024-06-15,3,133500,133500
9567,ENTUS-100017982,"70 Richmond Ave, 560-1, Houston, TX, 77006 USA",560-1,SHARED,4,,,2024-06-15,3,131000,131000
9769,ENTUS-100017982,"70 Richmond Ave, 922, Houston, TX, 77006 USA",922,PRIVATE,0,0.0,,2024-06-15,3,162500,162500
9739,ENTUS-100017982,"70 Richmond Ave, 858-2, Houston, TX, 77006 USA",858-2,SHARED,4,,,2024-06-15,3,125000,125000
9805,ENTUS-100017982,"70 Richmond Ave, 961-1, Houston, TX, 77006 USA",961-1,SHARED,3,,,2024-06-15,3,123500,123500
9765,ENTUS-100017982,"70 Richmond Ave, 916, Houston, TX, 77006 USA",916,PRIVATE,0,0.0,,2024-06-15,3,162500,162500
9806,ENTUS-100017982,"70 Richmond Ave, 961-2, Houston, TX, 77006 USA",961-2,SHARED,3,,,2024-06-15,3,123000,123000
9868,ENTUS-100017982,"70 Richmond Ave, 959-1, Houston, TX, 77006 USA",959-1,SHARED,2,,,2024-06-15,3,124000,124000
9516,ENTUS-100017982,"70 Richmond Ave, 502-1, Houston, TX, 77006 USA",502-1,SHARED,3,,,2024-06-15,3,124500,124500
9583,ENTUS-100017982,"70 Richmond Ave, 612, Houston, TX, 77006 USA",612,PRIVATE,0,0.0,,2024-06-15,3,177000,177000
9764,ENTUS-100017982,"70 Richmond Ave, 914, Houston, TX, 77006 USA",914,PRIVATE,0,0.0,,2024-06-15,3,162500,162500
9672,ENTUS-100017982,"70 Richmond Ave, 756-1, Houston, TX, 77006 USA",756-1,SHARED,4,,,2024-06-15,3,132000,132000
9693,ENTUS-100017982,"70 Richmond Ave, 802-3, Houston, TX, 77006 USA",802-3,SHARED,3,,,2024-06-15,3,128000,128000
9836,ENTUS-100017982,"70 Richmond Ave, 559-1, Houston, TX, 77006 USA",559-1,SHARED,2,,,2024-06-15,3,122500,122500
9667,ENTUS-100017982,"70 Richmond Ave, 744, Houston, TX, 77006 USA",744,PRIVATE,0,0.0,,2024-06-15,3,155000,155000
9642,ENTUS-100017982,"70 Richmond Ave, 710, Houston, TX, 77006 USA",710,PRIVATE,0,0.0,,2024-06-15,3,146000,146000
9620,ENTUS-100017982,"70 Richmond Ave, 658-3, Houston, TX, 77006 USA",658-3,SHARED,4,,,2024-06-15,3,124000,124000
9736,ENTUS-100017982,"70 Richmond Ave, 857-2, Houston, TX, 77006 USA",857-2,SHARED,3,,,2024-06-15,3,123000,123000
9472,ENTUS-100017982,"70 Richmond Ave, 416, Houston, TX, 77006 USA",416,PRIVATE,0,0.0,,2024-06-15,3,160000,160000
9686,ENTUS-100017982,"70 Richmond Ave, 760-4, Houston, TX, 77006 USA",760-4,SHARED,4,,,2024-06-15,3,131000,131000
9747,ENTUS-100017982,"70 Richmond Ave, 860-1, Houston, TX, 77006 USA",860-1,SHARED,4,,,2024-06-15,3,132500,132500
9490,ENTUS-100017982,"70 Richmond Ave, 443, Houston, TX, 77006 USA",443,PRIVATE,0,0.0,,2024-06-15,3,139500,139500
9560,ENTUS-100017982,"70 Richmond Ave, 558-3, Houston, TX, 77006 USA",558-3,SHARED,4,,,2024-06-15,3,123500,123500
9696,ENTUS-100017982,"70 Richmond Ave, 805, Houston, TX, 77006 USA",805,PRIVATE,0,0.0,,2024-06-15,3,144500,144500
9679,ENTUS-100017982,"70 Richmond Ave, 758-1, Houston, TX, 77006 USA",758-1,SHARED,4,,,2024-06-15,3,132000,132000
9528,ENTUS-100017982,"70 Richmond Ave, 519, Houston, TX, 77006 USA",519,PRIVATE,0,0.0,,2024-06-15,3,160500,160500
9699,ENTUS-100017982,"70 Richmond Ave, 807-3, Houston, TX, 77006 USA",807-3,SHARED,3,,,2024-06-15,3,125500,125500
9702,ENTUS-100017982,"70 Richmond Ave, 810, Houston, TX, 77006 USA",810,PRIVATE,0,0.0,,2024-06-15,3,146500,146500
9784,ENTUS-100017982,"70 Richmond Ave, 944, Houston, TX, 77006 USA",944,PRIVATE,0,0.0,,2024-06-15,3,155500,155500
9730,ENTUS-100017982,"70 Richmond Ave, 852, Houston, TX, 77006 USA",852,PRIVATE,0,0.0,,2024-06-15,3,152500,152500
9653,ENTUS-100017982,"70 Richmond Ave, 726-1, Houston, TX, 77006 USA",726-1,SHARED,3,,,2024-06-15,3,131500,131500
9649,ENTUS-100017982,"70 Richmond Ave, 722, Houston, TX, 77006 USA",722,PRIVATE,0,0.0,,2024-06-15,3,161500,161500
9788,ENTUS-100017982,"70 Richmond Ave, 954, Houston, TX, 77006 USA",954,PRIVATE,0,0.0,,2024-06-15,3,152500,152500
9597,ENTUS-100017982,"70 Richmond Ave, 628, Houston, TX, 77006 USA",628,PRIVATE,0,0.0,,2024-06-15,3,161000,161000
9525,ENTUS-100017982,"70 Richmond Ave, 512, Houston, TX, 77006 USA",512,PRIVATE,0,0.0,,2024-06-15,3,176500,176500
9537,ENTUS-100017982,"70 Richmond Ave, 528, Houston, TX, 77006 USA",528,PRIVATE,0,0.0,,2024-06-15,3,160500,160500
9847,ENTUS-100017982,"70 Richmond Ave, 727-2, Houston, TX, 77006 USA",727-2,SHARED,2,,,2024-06-15,3,123500,123500
9785,ENTUS-100017982,"70 Richmond Ave, 945, Houston, TX, 77006 USA",945,PRIVATE,0,0.0,,2024-06-15,3,169000,169000
9713,ENTUS-100017982,"70 Richmond Ave, 826-2, Houston, TX, 77006 USA",826-2,SHARED,3,,,2024-06-15,3,132000,132000
9578,ENTUS-100017982,"70 Richmond Ave, 607-1, Houston, TX, 77006 USA",607-1,SHARED,3,,,2024-06-15,3,122500,122500
9780,ENTUS-100017982,"70 Richmond Ave, 940, Houston, TX, 77006 USA",940,PRIVATE,0,0.0,,2024-06-15,3,152500,152500
9547,ENTUS-100017982,"70 Richmond Ave, 544, Houston, TX, 77006 USA",544,PRIVATE,0,0.0,,2024-06-15,3,154500,154500
9645,ENTUS-100017982,"70 Richmond Ave, 716, Houston, TX, 77006 USA",716,PRIVATE,0,0.0,,2024-06-15,3,161500,161500
9485,ENTUS-100017982,"70 Richmond Ave, 436, Houston, TX, 77006 USA",436,PRIVATE,0,0.0,,2024-06-15,3,160000,160000
9853,ENTUS-100017982,"70 Richmond Ave, 821-2, Houston, TX, 77006 USA",821-2,SHARED,2,,,2024-06-15,3,131500,131500
9470,ENTUS-100017982,"70 Richmond Ave, 412, Houston, TX, 77006 USA",412,PRIVATE,0,0.0,,2024-06-15,3,176000,176000
9782,ENTUS-100017982,"70 Richmond Ave, 942, Houston, TX, 77006 USA",942,PRIVATE,0,0.0,,2024-06-15,3,155500,155500
9674,ENTUS-100017982,"70 Richmond Ave, 756-3, Houston, TX, 77006 USA",756-3,SHARED,4,,,2024-06-15,3,124500,124500
9562,ENTUS-100017982,"70 Richmond Ave, 558-1, Houston, TX, 77006 USA",558-1,SHARED,4,,,2024-06-15,3,131000,131000
9565,ENTUS-100017982,"70 Richmond Ave, 560-3, Houston, TX, 77006 USA",560-3,SHARED,4,,,2024-06-15,3,123500,123500
9750,ENTUS-100017982,"70 Richmond Ave, 861-3, Houston, TX, 77006 USA",861-3,SHARED,3,,,2024-06-15,3,125500,125500
9846,ENTUS-100017982,"70 Richmond Ave, 721-1, Houston, TX, 77006 USA",721-1,SHARED,2,,,2024-06-15,3,129500,129500
9770,ENTUS-100017982,"70 Richmond Ave, 923, Houston, TX, 77006 USA",923,PRIVATE,0,0.0,,2024-06-15,3,148500,148500
9531,ENTUS-100017982,"70 Richmond Ave, 522, Houston, TX, 77006 USA",522,PRIVATE,0,0.0,,2024-06-15,3,160500,160500
9848,ENTUS-100017982,"70 Richmond Ave, 727-1, Houston, TX, 77006 USA",727-1,SHARED,2,,,2024-06-15,3,123500,123500
9823,ENTUS-100017982,"70 Richmond Ave, 446-2, Houston, TX, 77006 USA",446-2,SHARED,2,,,2024-06-15,3,126000,126000
9463,ENTUS-100017982,"70 Richmond Ave, 405, Houston, TX, 77006 USA",405,PRIVATE,0,0.0,,2024-06-15,3,164500,164500
9632,ENTUS-100017982,"70 Richmond Ave, 702-2, Houston, TX, 77006 USA",702-2,SHARED,3,,,2024-06-15,3,124500,124500
9635,ENTUS-100017982,"70 Richmond Ave, 704, Houston, TX, 77006 USA",704,PRIVATE,0,0.0,,2024-06-15,3,155000,155000
9665,ENTUS-100017982,"70 Richmond Ave, 742, Houston, TX, 77006 USA",742,PRIVATE,0,0.0,,2024-06-15,3,155000,155000
9724,ENTUS-100017982,"70 Richmond Ave, 841, Houston, TX, 77006 USA",841,PRIVATE,0,0.0,,2024-06-15,3,145500,145500
